GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS488631190	2021-04-01 15:14:13.10447	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	15					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Parrish Trail/Herb Pennock Park	L4448022	H	39.8378939	-75.7235898	2017-04-22	07:58:00	obsr634902	S36163297	Traveling	P22	EBIRD	70	1.931		1	1		0	1	0			Maybe more, abundant	
URN:CornellLabOfOrnithology:EBIRD:OBS491834962	2021-03-23 21:23:10.058299	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	21					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			White Clay Creek Preserve--Springlawn Trail	L612701	H	39.7355792	-75.8737868	2017-04-29	06:56:00	obsr243748	S36386144	Traveling	P22	EBIRD	109	1.207		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS492678345	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	7					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2017-04-30	08:00:00	obsr24203	S36438073	Traveling	P22	EBIRD	200	4.828		10	1	G2376099	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS492471208	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_962	29			Octoraro Reservoir (IBA) (Chester Co.)	L872097	H	39.8203310	-76.0310030	2017-04-30	06:55:00	obsr293470	S36425477	Traveling	P22	EBIRD	418	6.437		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS492226962	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Yard - West Chester	L483218	P	39.9991050	-75.6039593	2017-04-28	18:05:00	obsr7291	S36410739	Stationary	P21	EBIRD	70			2	1	G2373486	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS491167224	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Yard - West Chester	L483218	P	39.9991050	-75.6039593	2017-04-27	06:45:00	obsr7291	S36322425	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS490071255	2018-08-03 21:11:39	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Marsh Creek SP	L272015	H	40.0675599	-75.7199850	2017-04-25	09:28:00	obsr11194	S36253922	Traveling	P22	EBIRD	24	0.805		1	1		0	1	0		Light rain lots of haze, strong gusty northeast wind and 51°F		
URN:CornellLabOfOrnithology:EBIRD:OBS490047298	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	11					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Parrish Trail/Herb Pennock Park	L4448022	H	39.8378939	-75.7235898	2017-04-25	07:54:00	obsr634902	S36252268	Traveling	P22	EBIRD	52	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS485553933	2018-04-06 20:39:10	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	7					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Parrish Trail/Herb Pennock Park	L4448022	H	39.8378939	-75.7235898	2017-04-14	14:34:00	obsr634902	S35951982	Traveling	P22	EBIRD	41	1.207		1	1		0	1	0		Went back to the same sycamore I had YTWA in yesterday in hope of another sighting for documentation; no luck on that front, will try again tomorrow.	Including the pair in the same spot as yesterday.	
URN:CornellLabOfOrnithology:EBIRD:OBS491889167	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Longwood Gardens	L503790	H	39.8726929	-75.6744719	2017-04-29	10:45:00	obsr634902	S36389431	Traveling	P22	EBIRD	74	1.609		1	1		0	1	0				
