GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS753590384	2019-06-14 21:17:19	32798	species	Yellow Warbler	Setophaga petechia			6					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia County Park--Chambers Lake	L865342	H	40.0308266	-75.8571303	2019-05-07	08:54:00	obsr134567	S55954420	Traveling	P22	EBIRD	30	0.483		1	1		0	1	0		Foggy		
URN:CornellLabOfOrnithology:EBIRD:OBS754743594	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			5					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Shaw's Bridge Park	L130021	H	39.9216042	-75.6472015	2019-05-08	19:06:00	obsr281519	S56023448	Traveling	P22	EBIRD	67	3.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS761958521	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			6					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2019-05-18	09:32:00	obsr544551	S56471167	Traveling	P22	EBIRD	480	10.380		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS766053887	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			12					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-25	18:04:00	obsr293440	S56733221	Traveling	P22	EBIRD	46	1.207		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS750310687	2020-12-03 14:31:19.335492	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			White Clay Creek Preserve--Arc Corner	L3055461	H	39.7271700	-75.7749900	2019-05-03	09:25:00	obsr557743	S55761886	Traveling	P22	EBIRD	240	6.437		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS762246945	2021-04-01 10:40:31.999318	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Stroud Preserve (closed Wednesdays)	L593221	H	39.9536025	-75.6483793	2019-05-19	07:15:00	obsr142692	S56487944	Traveling	P22	EBIRD	180	1.609		22	1	G4206902	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS765162472	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Landenberg home sanctuary	L3275174	P	39.7513804	-75.8018124	2019-05-24	05:10:00	obsr557743	S56676802	Traveling	P22	EBIRD	180	1.287		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS760808792	2020-09-29 14:35:09	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Marsh Creek SP	L272015	H	40.0675599	-75.7199850	2019-05-16	10:00:00	obsr1261670	S56399599	Traveling	P22	EBIRD	135	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS754615734	2019-05-08 16:58:28	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia County Park	L506093	H	40.0298490	-75.8473563	2019-05-08	08:30:00	obsr134567	S56015326	Traveling	P22	EBIRD	45	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS751672462	2019-05-05 09:39:18	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2019-05-05	07:30:00	obsr171621	S55840818	Stationary	P21	EBIRD	60			1	1		0	1	0		Raining steadily. Cool. Stayed at parking lot shed.		
