observation_date,observation_count,one_week_ago,delta_one_week_ago,two_week_ago,delta_two_week_ago,three_week_ago,delta_three_week_ago,four_week_ago,delta_four_week_ago,five_week_ago,delta_five_week_ago,one_year_ago,one_year_ago_delta,one_year_one_week_ago,one_year_one_week_ago_delta,one_year_two_week_ago,one_year_two_week_ago_delta,one_year_three_week_ago,one_year_three_week_ago_delta,week_num,year_num,status,month
2012-06-03,0.0,0.0,-8.0,8.0,-160.5,168.5,-540.5,709.0,498.0,211.0,148.0,0.0,-1.0,1.0,-5.0,6.0,-28.0,6.0,-28.0,22.0,2012.0,past,2012-06
2012-06-10,0.0,0.0,0.0,0.0,-8.0,8.0,-160.5,168.5,-540.5,709.0,498.0,0.0,0.0,0.0,-1.0,1.0,-5.0,1.0,-5.0,23.0,2012.0,past,2012-06
2012-06-17,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,8.0,-160.5,168.5,-540.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,24.0,2012.0,past,2012-06
2012-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,8.0,-160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2012.0,past,2012-06
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2012.0,past,2012-07
2012-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2012.0,past,2012-07
2012-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2012.0,past,2012-07
2012-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2012.0,past,2012-07
2012-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2012.0,past,2012-07
2012-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2012.0,past,2012-08
2012-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2012.0,past,2012-08
2012-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2012.0,past,2012-08
2012-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2012.0,past,2012-08
2012-09-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2012.0,past,2012-09
2012-09-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.5,1.0,1.0,0.0,0.0,0.0,0.0,36.0,2012.0,past,2012-09
2012-09-16,3.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.5,6.5,5.5,1.0,1.0,1.0,1.0,37.0,2012.0,past,2012-09
2012-09-23,1.0,3.0,3.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,15.0,8.5,6.5,5.5,6.5,5.5,38.0,2012.0,past,2012-09
2012-09-30,33.0,1.0,-2.0,3.0,3.0,0.0,-1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,-15.0,15.0,8.5,15.0,8.5,39.0,2012.0,past,2012-09
2012-10-07,226.0,33.0,32.0,1.0,-2.0,3.0,3.0,0.0,-1.0,1.0,1.0,137.0,134.0,3.0,3.0,0.0,-15.0,0.0,-15.0,40.0,2012.0,past,2012-10
2012-10-14,236.0,226.0,193.0,33.0,32.0,1.0,-2.0,3.0,3.0,0.0,-1.0,235.0,98.0,137.0,134.0,3.0,3.0,3.0,3.0,41.0,2012.0,past,2012-10
2012-10-21,421.0,236.0,10.0,226.0,193.0,33.0,32.0,1.0,-2.0,3.0,3.0,179.0,-56.0,235.0,98.0,137.0,134.0,137.0,134.0,42.0,2012.0,past,2012-10
2012-10-28,193.0,421.0,185.0,236.0,10.0,226.0,193.0,33.0,32.0,1.0,-2.0,90.5,-88.5,179.0,-56.0,235.0,98.0,235.0,98.0,43.0,2012.0,past,2012-10
2012-11-04,145.5,193.0,-228.0,421.0,185.0,236.0,10.0,226.0,193.0,33.0,32.0,42.0,-48.5,90.5,-88.5,179.0,-56.0,179.0,-56.0,44.0,2012.0,past,2012-11
2012-11-11,61.0,145.5,-47.5,193.0,-228.0,421.0,185.0,236.0,10.0,226.0,193.0,1.0,-41.0,42.0,-48.5,90.5,-88.5,90.5,-88.5,45.0,2012.0,past,2012-11
2012-11-18,10.0,61.0,-84.5,145.5,-47.5,193.0,-228.0,421.0,185.0,236.0,10.0,1.0,0.0,1.0,-41.0,42.0,-48.5,42.0,-48.5,46.0,2012.0,past,2012-11
